,coordinates,demand,ready_time,due_time,service_time
0,"(40, 50)",0,0,240,0
94,"(57, 48)",23,95,125,10
14,"(5, 45)",10,35,65,10
8,"(15, 80)",10,91,121,10
66,"(41, 37)",16,133,163,10
19,"(42, 10)",40,72,102,10
48,"(42, 5)",10,151,181,10
21,"(40, 5)",10,67,97,10
58,"(15, 10)",20,152,182,10
49,"(42, 12)",10,104,134,10
67,"(64, 42)",9,70,100,10
73,"(2, 60)",5,77,107,10
36,"(65, 85)",40,43,73,10
83,"(37, 31)",14,35,65,10
13,"(5, 35)",10,142,172,10
4,"(20, 80)",40,141,171,10
26,"(95, 30)",30,115,145,10
6,"(18, 75)",20,95,125,10
17,"(0, 45)",20,149,179,10
37,"(65, 82)",10,124,154,10
35,"(67, 85)",20,139,169,10
27,"(95, 35)",20,62,92,10
97,"(4, 18)",35,120,150,10
75,"(5, 5)",16,74,104,10
61,"(45, 65)",9,66,96,10
59,"(10, 20)",19,42,72,10
34,"(85, 35)",30,111,141,10
10,"(10, 40)",30,119,149,10
15,"(2, 40)",20,58,88,10
99,"(26, 35)",15,77,107,10
38,"(62, 80)",30,75,105,10
54,"(55, 60)",16,139,169,10
44,"(55, 82)",10,64,94,10
82,"(27, 43)",9,42,72,10
96,"(55, 54)",26,132,162,10
64,"(45, 30)",17,53,83,10
70,"(35, 69)",23,180,210,10
51,"(55, 20)",19,83,113,10
32,"(87, 30)",10,131,161,10
39,"(60, 80)",10,37,67,10
69,"(31, 52)",27,41,71,10
45,"(20, 82)",10,37,67,10
16,"(0, 40)",20,72,102,10
25,"(35, 5)",20,154,184,10
65,"(35, 40)",16,11,41,10
81,"(49, 58)",10,86,116,10
80,"(47, 47)",13,192,222,10
30,"(88, 30)",10,74,104,10
92,"(53, 43)",14,14,44,10
20,"(42, 15)",10,122,152,10
77,"(23, 3)",7,150,180,10
72,"(63, 65)",8,30,60,10
74,"(20, 20)",8,141,171,10
93,"(61, 52)",3,178,208,10
57,"(30, 25)",23,96,126,10
5,"(20, 85)",20,41,71,10
90,"(37, 47)",6,86,116,10
23,"(38, 5)",30,65,95,10
56,"(50, 35)",19,130,160,10
3,"(22, 85)",10,109,139,10
86,"(21, 24)",28,87,117,10
87,"(12, 24)",13,90,120,10
31,"(88, 35)",20,61,91,10
52,"(25, 30)",3,52,82,10
98,"(26, 52)",9,46,76,10
89,"(67, 5)",25,144,174,10
68,"(40, 60)",21,144,174,10
76,"(60, 12)",31,75,105,10
7,"(15, 75)",20,79,109,10
2,"(22, 75)",30,50,80,10
47,"(2, 45)",10,45,75,10
