,coordinates,demand,ready_time,due_time,service_time
0,"(40, 50)",0,0,240,0
8,"(15, 80)",10,91,121,10
50,"(72, 35)",30,116,146,10
10,"(10, 40)",30,119,149,10
72,"(63, 65)",8,30,60,10
79,"(6, 68)",30,89,119,10
57,"(30, 25)",23,96,126,10
73,"(2, 60)",5,77,107,10
87,"(12, 24)",13,90,120,10
24,"(38, 15)",10,148,178,10
48,"(42, 5)",10,151,181,10
15,"(2, 40)",20,58,88,10
78,"(8, 56)",27,90,120,10
18,"(44, 5)",20,87,117,10
29,"(90, 35)",10,67,97,10
37,"(65, 82)",10,124,154,10
4,"(20, 80)",40,141,171,10
31,"(88, 35)",20,61,91,10
68,"(40, 60)",21,144,174,10
27,"(95, 35)",20,62,92,10
62,"(65, 35)",3,52,82,10
