,coordinates,demand,ready_time,due_time,service_time
0,"(40, 50)",0,0,240,0
30,"(88, 30)",10,74,104,10
75,"(5, 5)",16,74,104,10
74,"(20, 20)",8,141,171,10
78,"(8, 56)",27,90,120,10
11,"(8, 40)",40,59,89,10
36,"(65, 85)",40,43,73,10
52,"(25, 30)",3,52,82,10
18,"(44, 5)",20,87,117,10
43,"(55, 85)",20,128,158,10
59,"(10, 20)",19,42,72,10
64,"(45, 30)",17,53,83,10
22,"(40, 15)",40,92,122,10
29,"(90, 35)",10,67,97,10
21,"(40, 5)",10,67,97,10
66,"(41, 37)",16,133,163,10
72,"(63, 65)",8,30,60,10
91,"(49, 42)",13,167,197,10
79,"(6, 68)",30,89,119,10
98,"(26, 52)",9,46,76,10
87,"(12, 24)",13,90,120,10
37,"(65, 82)",10,124,154,10
4,"(20, 80)",40,141,171,10
69,"(31, 52)",27,41,71,10
82,"(27, 43)",9,42,72,10
1,"(25, 85)",20,145,175,10
97,"(4, 18)",35,120,150,10
81,"(49, 58)",10,86,116,10
3,"(22, 85)",10,109,139,10
68,"(40, 60)",21,144,174,10
25,"(35, 5)",20,154,184,10
85,"(63, 23)",2,87,117,10
45,"(20, 82)",10,37,67,10
33,"(85, 25)",10,51,81,10
100,"(31, 67)",3,180,210,10
34,"(85, 35)",30,111,141,10
71,"(65, 55)",14,65,95,10
13,"(5, 35)",10,142,172,10
28,"(92, 30)",10,62,92,10
67,"(64, 42)",9,70,100,10
50,"(72, 35)",30,116,146,10
41,"(58, 75)",20,92,122,10
56,"(50, 35)",19,130,160,10
76,"(60, 12)",31,75,105,10
95,"(56, 37)",6,34,64,10
54,"(55, 60)",16,139,169,10
93,"(61, 52)",3,178,208,10
10,"(10, 40)",30,119,149,10
80,"(47, 47)",13,192,222,10
27,"(95, 35)",20,62,92,10
55,"(30, 60)",16,140,170,10
