,coordinates,demand,ready_time,due_time,service_time
0,"(40, 50)",0,0,240,0
37,"(65, 82)",10,124,154,10
70,"(35, 69)",23,180,210,10
45,"(20, 82)",10,37,67,10
28,"(92, 30)",10,62,92,10
11,"(8, 40)",40,59,89,10
21,"(40, 5)",10,67,97,10
48,"(42, 5)",10,151,181,10
23,"(38, 5)",30,65,95,10
90,"(37, 47)",6,86,116,10
33,"(85, 25)",10,51,81,10
52,"(25, 30)",3,52,82,10
81,"(49, 58)",10,86,116,10
12,"(8, 45)",20,64,94,10
95,"(56, 37)",6,34,64,10
25,"(35, 5)",20,154,184,10
15,"(2, 40)",20,58,88,10
4,"(20, 80)",40,141,171,10
65,"(35, 40)",16,11,41,10
24,"(38, 15)",10,148,178,10
29,"(90, 35)",10,67,97,10
2,"(22, 75)",30,50,80,10
27,"(95, 35)",20,62,92,10
99,"(26, 35)",15,77,107,10
60,"(15, 60)",17,155,185,10
6,"(18, 75)",20,95,125,10
83,"(37, 31)",14,35,65,10
3,"(22, 85)",10,109,139,10
22,"(40, 15)",40,92,122,10
18,"(44, 5)",20,87,117,10
14,"(5, 45)",10,35,65,10
