,coordinates,demand,ready_time,due_time,service_time
0,"(40, 50)",0,0,240,0
98,"(26, 52)",9,46,76,10
55,"(30, 60)",16,140,170,10
89,"(67, 5)",25,144,174,10
5,"(20, 85)",20,41,71,10
48,"(42, 5)",10,151,181,10
92,"(53, 43)",14,14,44,10
12,"(8, 45)",20,64,94,10
33,"(85, 25)",10,51,81,10
99,"(26, 35)",15,77,107,10
60,"(15, 60)",17,155,185,10
76,"(60, 12)",31,75,105,10
31,"(88, 35)",20,61,91,10
88,"(24, 58)",19,67,97,10
95,"(56, 37)",6,34,64,10
35,"(67, 85)",20,139,169,10
79,"(6, 68)",30,89,119,10
94,"(57, 48)",23,95,125,10
40,"(60, 85)",30,85,115,10
28,"(92, 30)",10,62,92,10
36,"(65, 85)",40,43,73,10
