,coordinates,demand,ready_time,due_time,service_time
0,"(40, 50)",0,0,240,0
57,"(30, 25)",23,96,126,10
79,"(6, 68)",30,89,119,10
13,"(5, 35)",10,142,172,10
55,"(30, 60)",16,140,170,10
19,"(42, 10)",40,72,102,10
73,"(2, 60)",5,77,107,10
27,"(95, 35)",20,62,92,10
46,"(18, 80)",10,113,143,10
36,"(65, 85)",40,43,73,10
6,"(18, 75)",20,95,125,10
41,"(58, 75)",20,92,122,10
89,"(67, 5)",25,144,174,10
7,"(15, 75)",20,79,109,10
22,"(40, 15)",40,92,122,10
71,"(65, 55)",14,65,95,10
49,"(42, 12)",10,104,134,10
80,"(47, 47)",13,192,222,10
39,"(60, 80)",10,37,67,10
3,"(22, 85)",10,109,139,10
14,"(5, 45)",10,35,65,10
17,"(0, 45)",20,149,179,10
96,"(55, 54)",26,132,162,10
85,"(63, 23)",2,87,117,10
28,"(92, 30)",10,62,92,10
84,"(57, 29)",18,96,126,10
52,"(25, 30)",3,52,82,10
95,"(56, 37)",6,34,64,10
67,"(64, 42)",9,70,100,10
33,"(85, 25)",10,51,81,10
11,"(8, 40)",40,59,89,10
90,"(37, 47)",6,86,116,10
50,"(72, 35)",30,116,146,10
53,"(20, 50)",5,91,121,10
91,"(49, 42)",13,167,197,10
47,"(2, 45)",10,45,75,10
62,"(65, 35)",3,52,82,10
65,"(35, 40)",16,11,41,10
59,"(10, 20)",19,42,72,10
98,"(26, 52)",9,46,76,10
21,"(40, 5)",10,67,97,10
20,"(42, 15)",10,122,152,10
42,"(55, 80)",10,33,63,10
26,"(95, 30)",30,115,145,10
15,"(2, 40)",20,58,88,10
12,"(8, 45)",20,64,94,10
88,"(24, 58)",19,67,97,10
48,"(42, 5)",10,151,181,10
18,"(44, 5)",20,87,117,10
74,"(20, 20)",8,141,171,10
97,"(4, 18)",35,120,150,10
51,"(55, 20)",19,83,113,10
43,"(55, 85)",20,128,158,10
5,"(20, 85)",20,41,71,10
60,"(15, 60)",17,155,185,10
78,"(8, 56)",27,90,120,10
35,"(67, 85)",20,139,169,10
100,"(31, 67)",3,180,210,10
86,"(21, 24)",28,87,117,10
92,"(53, 43)",14,14,44,10
68,"(40, 60)",21,144,174,10
29,"(90, 35)",10,67,97,10
30,"(88, 30)",10,74,104,10
87,"(12, 24)",13,90,120,10
23,"(38, 5)",30,65,95,10
45,"(20, 82)",10,37,67,10
37,"(65, 82)",10,124,154,10
32,"(87, 30)",10,131,161,10
38,"(62, 80)",30,75,105,10
4,"(20, 80)",40,141,171,10
81,"(49, 58)",10,86,116,10
