,coordinates,demand,ready_time,due_time,service_time
0,"(40, 50)",0,0,240,0
43,"(55, 85)",20,128,158,10
98,"(26, 52)",9,46,76,10
73,"(2, 60)",5,77,107,10
70,"(35, 69)",23,180,210,10
53,"(20, 50)",5,91,121,10
29,"(90, 35)",10,67,97,10
79,"(6, 68)",30,89,119,10
59,"(10, 20)",19,42,72,10
93,"(61, 52)",3,178,208,10
96,"(55, 54)",26,132,162,10
92,"(53, 43)",14,14,44,10
64,"(45, 30)",17,53,83,10
99,"(26, 35)",15,77,107,10
5,"(20, 85)",20,41,71,10
66,"(41, 37)",16,133,163,10
19,"(42, 10)",40,72,102,10
46,"(18, 80)",10,113,143,10
22,"(40, 15)",40,92,122,10
82,"(27, 43)",9,42,72,10
12,"(8, 45)",20,64,94,10
26,"(95, 30)",30,115,145,10
63,"(65, 20)",6,39,69,10
89,"(67, 5)",25,144,174,10
30,"(88, 30)",10,74,104,10
51,"(55, 20)",19,83,113,10
52,"(25, 30)",3,52,82,10
65,"(35, 40)",16,11,41,10
68,"(40, 60)",21,144,174,10
21,"(40, 5)",10,67,97,10
4,"(20, 80)",40,141,171,10
13,"(5, 35)",10,142,172,10
80,"(47, 47)",13,192,222,10
8,"(15, 80)",10,91,121,10
54,"(55, 60)",16,139,169,10
58,"(15, 10)",20,152,182,10
27,"(95, 35)",20,62,92,10
56,"(50, 35)",19,130,160,10
47,"(2, 45)",10,45,75,10
11,"(8, 40)",40,59,89,10
61,"(45, 65)",9,66,96,10
